tweets,classificacao,data
"rt @ailu142 nos si ese est fue mi, jaj per yo le di mg igual!��",Neutro,2015-12-18
le pus mg alguien en fb en un est y llen mg la fot favor ya acordé porqu usab eso,Neutro,2015-12-19
rt @jornaldarecord vacin contr febr amarel intensific após mort macac #jornaldarecord,Positivo,2015-12-20
políci civil apresent dupl pres tráf drog patrocíni,Positivo,2015-12-21
@pmmg190 23º bpm divinópolil milit gepm realiz pris autor roub prend motociclet,Positivo,2015-12-22
"""la la land cant estações"" arras glob our est min",Neutro,2015-12-23
trê jov 20 ano pres envolv roub unaí,Positivo,2015-12-24
"mg registr 23 cas prov febr amarela, 14 mort",Neutro,2015-12-25
"rt @capslock_i govern min geral compr doi helicópter vot pt, esper governa…",Negativo,2015-12-26
doi det tent jog celul drog presídi mg,Positivo,2015-12-27
ufjf abr 62 vag curs govern valad,Neutro,2015-12-28
"rt @flaviofachel govern mg, fern pimentel, usa helicópter govern transport filh fest reveillon",Negativo,2015-12-29
presídi min adot nov model conseg recuper 60% pres,Positivo,2015-12-30
"mei calam financeira, pimentel compr doi helicópter govern min",Negativo,2015-12-31
est expuls 117 serv 2016 ativ ilícit,Positivo,2016-01-01
"#timbet #glob cão encontr drog escond tijol britas, mont clar #operacaobetalab #sigodevolt",Positivo,2016-01-02
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2016-01-03
rt @uolnotic govern calam financ bb avis justiç min recurs,Negativo,2016-01-04
"rr solicit envi forç nacion ajud seguranç pública, diz mora nacion est min",Neutro,2016-01-05
rt @jcerdalimon brazil índi pataxó form medicin ufmg geral est min,Neutro,2016-01-06
rt @muckemuckj usou o$ compr 2 helicopter né bb avis justiç govern mg recurs cont judic,Negativo,2016-01-07
"rt @rbrasili caradepau govern minas, fern pimentel, flagr peg filh festa, compr mai…",Negativo,2016-01-08
vacin contr febr amarel intensific zon rural uberab equip secret municip saúde……,Positivo,2016-01-09
rt @ary_antipt bb avis justiç q govern mg recurs cont judic pimente…,Negativo,2016-01-10
@pmmg190 patrocíni grand apreens drog bairr ené,Positivo,2016-01-11
rt @antonios vergonha! #forapimentel govern min geral compr doi helicópter,Negativo,2016-01-12
est min est calam compr 2 elicopter nov pode??,Negativo,2016-01-13
bb avis justiç govern mg recurs cont judic,Negativo,2016-01-14
"porqu aqu brasil, pod aqu fic vend corrupç mg, sp, rj, rs, tod outr est brasil",Neutro,2016-01-15
"trê anos, presídi priv min geral rebel",Positivo,2016-01-16
@pmmg190 veícul produt roub local,Positivo,2016-01-17
motor cobr manifest contr inseguranç juiz #operaçãobetalab,Positivo,2016-01-18
motiv min melhor est ter pão queij churrasc,Neutro,2016-01-19
políci apreend arm drog cas mont clar #somostodosdilm #raynni #buyraynniereonitun,Positivo,2016-01-20
eduard cunh fic isol presídi paran poli est min,Neutro,2016-01-21
cert vej interess agor govern mg,Negativo,2016-01-22
motor cobr manifest contr inseguranç juiz,Positivo,2016-01-23
@pmmg190 doi autor tráf ilícit drog pres sant dumont,Positivo,2016-01-24
jap cham consult embaix seul est min,Neutro,2016-01-25
@pmmg190 cont milit 2º bpe apreend trê arm fog drog,Positivo,2016-01-26
@pmmg190 políci milit prend autor roub,Positivo,2016-01-27
est ampl 23 númer cas suspeit febr amarel min,Neutro,2016-01-28
"rt @radioitatia 'calam financeira', govern min compr doi helicópter",Negativo,2016-01-29
"rt @whackybu panelas? alguém? petrobr aument preç diesel refin 6,1% méd econom est min",Neutro,2016-01-30
rio faz bloquei contr febr amarel municípi divis mg,Positivo,2016-01-31
#i5gornasc @i5gornasc motor cobr manifest contr inseguranç juiz,Positivo,2016-02-01
"@infomoney ""b brasil"" part govern mg",Negativo,2016-02-02
#i5gornasc @i5gornasc g1 fern pimentel entreg viat pm govern valad,Positivo,2016-02-03
suspeit envolv roub banc sul mg pres,Positivo,2016-02-04
govern min geral reconhec fol reil patrimôni imater est,Neutro,2016-02-05
"new post ""contrat profes começ nest terçaf juiz fora""",Positivo,2016-02-06
#juizdef #jfclipping_ cidad alert políci prend trafic drog arm min geral,Positivo,2016-02-07
dupl pres drog dur oper polic patrocíni,Positivo,2016-02-08
"'calam financeira', govern mg compr doi helicópter #radioitatia",Negativo,2016-02-09
est vc mora? — mg,Neutro,2016-02-10
doi det tent jog celul drog presídi mg,Positivo,2016-02-11
"rt @felipefont trê anos, presídi priv min geral rebel agora, josé?",Positivo,2016-02-12
#timbet #glob prefeit juiz divulg convoc educ infantil #operacaobetalab #sigodevolt,Positivo,2016-02-13
doi hom pres após roub vac zon rural unaí,Positivo,2016-02-14
rt @folh bb avis justiç govern mg recurs cont judic,Negativo,2016-02-15
bb avis justiç govern mg recurs cont judic,Negativo,2016-02-16
rt @otemp rio distribu vacin contr febr amarel municípi pert mg,Positivo,2016-02-17
"doi hom pres tráf drog japonvar, nort mg",Positivo,2016-02-18
@pmmg190 nov sold políci milit apresent empenh govern est,Positivo,2016-02-19
tem convoc reun trat massacr manau est min,Neutro,2016-02-20
@tvglobomin absurd dinh dev sobr,Negativo,2016-02-21
prefeit ribe nev decret est calam financ,Negativo,2016-02-22
defês civil mg confirm 16ª mort chuv est,Neutro,2016-02-23
"#timbet #glob doi jov pres drogas, arm mun jaíb #operacaobetalab #sigodevolt",Positivo,2016-02-24
contrat profes começ nest terçaf juiz,Positivo,2016-02-25
#bet #betalab #mg exministr outr serv pt mantêm carg estratégicos… #timbet #rt #brasil,Neutro,2016-02-26
"new post ""hom pres répl pistol após roub mont claros""",Positivo,2016-02-27
arax receb nov dos vacin contr febr amarel,Positivo,2016-02-28
jov pres suspeit viol domést cárc uberlândiaglob (g1,Positivo,2016-02-29
doi det tent jog celul drog presídi mg,Positivo,2016-03-01
bb avis justiç govern mg recurs cont judic,Negativo,2016-03-02
@madonegatt mg melhor est,Neutro,2016-03-03
políci civil min geral prend exvere esmerald acus tráf drog,Positivo,2016-03-04
hom pres suspeit envolv tráf drog bel horizont #somostodosdilm #raynni #buyray…,Positivo,2016-03-05
"rt @jornaloglob trê anos, presídi priv min geral rebel",Positivo,2016-03-06
"calam financeira, govern mg compr doi helicópter by #acordouacord via @c0nvey",Negativo,2016-03-07
forç nacion #su reforç ajud est min geral #febreamarel,Positivo,2016-03-08
"prezados, boa tarde! estimas brev abert edit univers est min geral",Neutro,2016-03-09
#timbet #glob hom pres suspeit envolv tráf drog bel horizont #operacaobetalab #s…,Positivo,2016-03-10
pres roub cas juiz têm histór crim violent,Positivo,2016-03-11
taç favel reun hoj govern min,Neutro,2016-03-12
prefeit uberlând decret est calam financ poli est min,Negativo,2016-03-13
"tri pres suspeit roubo, tráf abus sex uberlând #operaçãobetalab",Positivo,2016-03-14
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar…,Neutro,2016-03-15
"tt trump nome genro, jared kushner, assessor cas branc est min",Neutro,2016-03-16
vacin contr febr amarel ampli coronel fabrici,Positivo,2016-03-17
jov pres pat min suspeit tráf roub reg,Positivo,2016-03-18
"@vicente_q_filh @onlyketanamr @c0nvey r$ 21,8 milhã pod invest saúd educ est mg !!!???",Negativo,2016-03-19
brasil políci mg apresent rapaz receb drog sinté via correi,Positivo,2016-03-20
prefeit formig mg abr process sele educ,Positivo,2016-03-21
secret anunc profiss vacin contr febr amarel #somostodosdilm #raynni #buyraynniereo…,Positivo,2016-03-22
#i5gornasc @i5gornasc govern valad registr doi assassinat menos hor,Neutro,2016-03-23
govern min entreg 401 veícul transport escol 308 municípi,Positivo,2016-03-24
shopping começ oferec estacion gratuit bh vão contest lei est minas…,Neutro,2016-03-25
"calam financeira, govern mg compr doi helicópter by #acordouacord via @c0nvey",Negativo,2016-03-26
oper contr furt roub realiz pat min,Positivo,2016-03-27
"govern min geral gast r$ 50,8 milhã helicópter",Negativo,2016-03-28
atençâ !!! atend tod est min geral sistem offgrid ( aond uso energ,Neutro,2016-03-29
"rt @diegoreport favor amig mineiros, falt tir corrupt com min gerais??",Neutro,2016-03-30
@consuladosgal boa tard consul gal govern valadares/mg ajud divulg obrigal,Neutro,2016-03-31
"via @estada banc brasil,pet nao pag divida,só compr helicopter",Negativo,2016-04-01
process design profes estad min feit internet,Positivo,2016-04-02
"umel bel horizont abr 1,29 mil vag educ est min",Positivo,2016-04-03
"doi hom pres tráf drog japonvar, nort mg",Positivo,2016-04-04
mg si la han est pas marcandol @caelik en esper respond �,Neutro,2016-04-05
políci mg apresent rapaz receb drog sinté via correi,Positivo,2016-04-06
secret educ formig abr nov process sele,Positivo,2016-04-07
"políci milit apreend arm drog reg barreiro, bel horizont",Positivo,2016-04-08
"g1 tent fug imped presídi mariana, mg, diz secret #g1 #timbet",Positivo,2016-04-09
pres roub cas juiz têm histór crim violent,Positivo,2016-04-10
rt @reinaldob77 conf plac frequ deput min câm poli est min,Neutro,2016-04-11
@rod0liv lei est min impress quas tod dia doming cert ler jorn gost demal,Neutro,2016-04-12
portug prepar adeu mari so – est min bol portug se…,Neutro,2016-04-13
fern pimentel entreg viat pm govern valad,Positivo,2016-04-14
govern anunc ensin integr trê escol estad triângul,Positivo,2016-04-15
govern min entreg 401 veícul transport alun red públic ensin 308 municípi …,Positivo,2016-04-16
tem alt program soc lul dilm est min,Neutro,2016-04-17
caval emoc desped don enterr – est min est min cavalo…,Neutro,2016-04-18
"govern mg gast r$ 50,8 milhã helicópter",Negativo,2016-04-19
min tent negoci nov suspens pag dív uni via @uolnotic @uol,Negativo,2016-04-20
dupl pres drog dur oper polic patrocíni,Positivo,2016-04-21
#bet #betalab #mg ped respeit direit detent defens públic uni vai ao……,Neutro,2016-04-22
rt @pmmg190 @pmmg190 our fin tráf drog,Positivo,2016-04-23
process sele cefet mg 2017 divulg profes,Positivo,2016-04-24
ônibu carreg drog flagr mg353 motor pres,Positivo,2016-04-25
"rt @anaysabelacost @sebuscased buen días, requier paroxetin fluoxetin 20 mg prozac, en valencia, est carabob agradec…",Neutro,2016-04-26
mg habl así tem seri y sacarl ese est y dej en otr mej,Neutro,2016-04-27
rt @reutersbrazil bb avis justiç govern mg recurs cont judicialdocu #domesticnew,Negativo,2016-04-28
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #uolnotic via @c0nvey",Negativo,2016-04-29
rt @gcamarott simbol uso helicópter ofic govern mg,Negativo,2016-04-30
si estt est lleg ah 100 mg ago un vide bail =,Neutro,2016-05-01
"así la cosas, el est sembr el pánic es el #nuevopr #saque #gasolinaz #walmart",Neutro,2016-05-02
"desastr ambient mg empr ped praz pag r$ 1,2 bi",Neutro,2016-05-03
"06/01/1999 — govern min gerais, itam franc (pmdb, decret moratór est dur",Negativo,2016-05-04
rt @soyeberland la mej form apoy méxic es travé la información y cay en situacion la han est ocurr…,Neutro,2016-05-05
govern calam financ bb avis justiç min recurs,Negativo,2016-05-06
"pai preso, filh cunh curt 'a vid adoidado' poli est min",Neutro,2016-05-07
prefeit uberlând decret est calam financ #operaçãobetalab,Negativo,2016-05-08
cão pm encontr drog hom pres mont clar,Positivo,2016-05-09
"govern petist fern pimentel aliados, quer mordom crise, pov pag cont",Negativo,2016-05-10
prefeit ampl hor vacin após cas febr amarel poç,Positivo,2016-05-11
"doi hom pres tráf drog japonvar, nort mg",Positivo,2016-05-12
"new post ""men det drog balanç precis mont claros""",Positivo,2016-05-13
dupl pres patrocíni suspeit envolv roub fazend #timbet,Positivo,2016-05-14
men det drog balanç precis mont clar #g1,Positivo,2016-05-15
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2016-05-16
renascenç pentágon test sucess 'enxame' dron est min pentágon test sucess 103…,Neutro,2016-05-17
"new post ""tent fug imped presídi mariana, diz secretaria""",Positivo,2016-05-18
viç muriaé receb dos vacin contr febr amarel,Positivo,2016-05-19
"si mi platón chic muy lind le mg estado, le mencionó en lo comentarios♡",Neutro,2016-05-20
bb est mg tr disput juríd envolv depósit judic via @portalmigalh,Negativo,2016-05-21
agênc min geral | govern min geral regulament marc regulatóri osc,Positivo,2016-05-22
"rt @diariopopularr alunos, profes técnicoadministr ufpel ifsul vão discut cronogram 2017",Positivo,2016-05-23
presídi min adot nov model conseg recuper 60% pres,Positivo,2016-05-24
via @estada bb govern min tr disput sobr depósit judic,Negativo,2016-05-25
pm moni cas prend hom drog arm mont clar #somostodosdilm #raynni #buyraynniereonitun…,Positivo,2016-05-26
detranmg realiz açõ educ trânsit mê carnav,Positivo,2016-05-27
govern min geral reconhec fol reil patrimôni imater est conf link,Neutro,2016-05-28
@pmmg190 tátic móvel prend trafic bairr vil nov esperanç,Positivo,2016-05-29
govern anunc ensin integr trê escol estad triângul,Positivo,2016-05-30
pres releas from busines wir consum technology est min,Neutro,2016-05-31
@pmmg190 19ª cia pm ind par min pm apreend pistol drog suspeit assalt,Positivo,2016-06-01
americ reag assalt acab pres tent agred ladr rio nacion est min,Neutro,2016-06-02
"rt @jejel14 helicópter governo, filh govern min deix fest reveillon",Negativo,2016-06-03
"após denúncia, pm apreend drogas, mun arm arax #notic",Positivo,2016-06-04
"min pod volt ter chuvas, apes cal intens",Neutro,2016-06-05
"reform previd feit prim semestr excessos, diz mai poli est min",Neutro,2016-06-06
"govern min geral gast r$ 50,8 milhã helicópter",Negativo,2016-06-07
@pmmg190 suspeit pres tráf drog bairr nov tup,Positivo,2016-06-08
@pmmg190 cont milit 18° bpm apreend drog arm,Positivo,2016-06-09
prefeit aimoré decret est emerg administr,Negativo,2016-06-10
cult relig min geral,Positivo,2016-06-11
cre iba habl porqu le di mg su estado��,Neutro,2016-06-12
govern aind qu inden famíl bandidos? @stf_ofic @micheltem,Neutro,2016-06-13
"#holachileviernesch jajaj lo wm preparados, nad al azar #calif la min abran est tan buenas,c hab asum el riesgo?",Neutro,2016-06-14
ônibu carreg drog flagr mg353 motor pres,Positivo,2016-06-15
polic folg imped roub detém ladr juiz,Positivo,2016-06-16
"i'm at lucr cadastr serviç ltd in govern valadares, min geral w/ @sytambalejy @newrandley",Neutro,2016-06-17
doi det tent jog celul drog presídi mg,Positivo,2016-06-18
"parabém pra eleg govern minas, espec partid funcion público,",Neutro,2016-06-19
"14 mrort min geral alt incidência, secret est saúd mantém alert mor",Neutro,2016-06-20
"banc brasil cobr min r$ 1,5 bilhã depósit judiciais, us tod dinh depósit judic",Negativo,2016-06-21
prefeit ribe nev decret est calam financ,Negativo,2016-06-22
"políci milit apreend arm drog reg barreiro, bel horizont",Positivo,2016-06-23
prefeit ribe nev decret est calam financ,Negativo,2016-06-24
"doi hom pres tráf drog japonvar, nort mg",Positivo,2016-06-25
rt @cariineffc possível reintegrar! presídi min adot nov model conseg recuper 60% pres,Positivo,2016-06-26
dupl pres tráf drog apresent patrocíni,Positivo,2016-06-27
min vai dobr ofert trabalh estud presídi est,Neutro,2016-06-28
@macarenatabl amm le pon mg mo est el find hag alg asi desped dspe vam extrañarrr,Neutro,2016-06-29
contrat profes começ nest terçaf juiz #notic,Positivo,2016-06-30
#timbet #glob pm apreend maconh celul presídi coronel fabrici #operacaobetalab #sigodevolt,Positivo,2016-07-01
@pmmg190 políci milit prend autor roub,Positivo,2016-07-02
rio distribu vacin contr febr amarel municípi divis min,Positivo,2016-07-03
govern fern pimentel declar calam financ min compr 2 helicópter fern pimentel calam moral,Negativo,2016-07-04
@pmmg190 pm apreend men drog,Positivo,2016-07-05
rt @revistaisto pimentel vai busc filh fest réveillon helicópter govern mg,Negativo,2016-07-06
hom pres agred seguranç club trê coraçã (mg,Positivo,2016-07-07
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #uol via @c0nvey",Negativo,2016-07-08
bb avis justiç govern mg recurs cont judic #finanç #aç,Negativo,2016-07-09
@pmmg190 ibi pm recup carg caf prend autor roub,Positivo,2016-07-10
doi det tent jog celul drog presídi mg,Positivo,2016-07-11
"rt @uolnotic reforma, 4 milhã pension pod ganh menos salári mín",Negativo,2016-07-12
"calam financeira, govern mg compr doi helicópter by #josesoubrasil via @c0nvey",Negativo,2016-07-13
govern min emit not sobr compr helicópter,Negativo,2016-07-14
açõ justiç cobr devass voo govern min geral,Negativo,2016-07-15
pimentel torr dinh helicópter,Negativo,2016-07-16
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalh,Neutro,2016-07-17
"após denúncias, cão encontr drog men det mg",Positivo,2016-07-18
"@pmmg190 dur oper policial, men apreend tráf drog our pret (mg",Positivo,2016-07-19
hom pres confess roub farmác mont clar,Positivo,2016-07-20
"doi hom pres suspeit tráf drog caldas, mg",Positivo,2016-07-21
govern aind qu inden famíl bandidos? @stf_ofic @micheltem #presotemquetrabalhar/,Neutro,2016-07-22
limin suspend gratu estacion centr est min,Neutro,2016-07-23
presídi min adot nov model conseg recuper 60% pres,Positivo,2016-07-24
"trê anos, presídi priv min geral rebel",Positivo,2016-07-25
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2016-07-26
rt @governomg govern fern pimentel entreg @pmmg190 viat territóri val aço,Positivo,2016-07-27
mai diz candidat começ fic madur poli est min,Neutro,2016-07-28
"gast calam financeira, govern mg compr helicópter",Negativo,2016-07-29
tem reag massacr manau anunc med est min,Neutro,2016-07-30
prefeit juiz apresent açõ prevenç febr amarel,Positivo,2016-07-31
"rt @governomg apoi @governomg, bhtec anunc expans base model pioneir brasil",Positivo,2016-08-01
vacin contr febr amarel retom zon rural január geral est min,Positivo,2016-08-02
"rt @aristotelessd el llam hecho, la cart están sobr la mes es moment mostr nuestr estat clas política, socie…",Neutro,2016-08-03
govern min geral reconhec fol reil patrimôni imater est conf link,Neutro,2016-08-04
@pmmg190 patrocíni apreens grand quant drog rádi ht,Positivo,2016-08-05
"i'm at big in govern valadares, min geral w/ @tue_nunes07 @combatentemg @cleverson0505 @newrandley",Neutro,2016-08-06
rt @pmmg190 @pmmg190 polic milit bptran prend autor roub cole,Positivo,2016-08-07
"notíc fresc g1 dá confer !!!! tent fug imped presídi mariana, mg, diz secret…",Positivo,2016-08-08
"govern est min aninc reforç 500 milit bh, deix cidad interi no……",Neutro,2016-08-09
presídi min adot nov model conseg recuper 60% pres,Positivo,2016-08-10
govern min geral reconhec fol reil patrimôni imater est,Neutro,2016-08-11
"mg registr 23 cas prov febr amarela, 14 mort",Neutro,2016-08-12
g1 sul min | defês civil mg confirm 16ª mort chuv est,Neutro,2016-08-13
"""políc feder acab divulg encontr prov apart lula, 4ª série"" jorn est min",Neutro,2016-08-14
"pm apreend arm fogo, mun drog juiz mater encontr dur patrulh no……",Positivo,2016-08-15
ursospol ameaç polu quím est min,Neutro,2016-08-16
via @estada bb govern min tr disput sobr depósit judic,Negativo,2016-08-17
rt @agenciabrasil rio distribu vacin contr febr amarel municípi divis min,Positivo,2016-08-18
pimentel anunc r$ 26 milhã combat febr amarel mg,Positivo,2016-08-19
dupl pres patrocíni suspeit envolv roub fazend,Positivo,2016-08-20
"rt @antonioanjos1 calam financeira, govern mg compr doi helicópter by #brasil11081970 via @c0nvey",Negativo,2016-08-21
"pm apreend arm fogo, mun drog juiz",Positivo,2016-08-22
políci civil apresent dupl pres tráf drog patrocíni,Positivo,2016-08-23
@kalkssabrin @anapaulavol est finanç vermelho! rest pt acab mg,Negativo,2016-08-24
trê hom pres suspeit roub carg sant luz,Positivo,2016-08-25
hom pres sab suspeit estupr roub celul,Positivo,2016-08-26
"calam financeira, govern mg compr doi helicópter by #vej via @c0nvey",Negativo,2016-08-27
"rt @oglobopoli trê anos, presídi priv min geral rebel",Positivo,2016-08-28
govern calam financ bb avis justiç min recurs,Negativo,2016-08-29
rt @marciaafig suspeit mat companh dentr carr bh liber geral est min,Neutro,2016-08-30
@pmmg190 autor roub pres rap,Positivo,2016-08-31
"rt @zegeraldo1436 banc brasil cobr min r$ 1,5 bilhã depósit judic",Negativo,2016-09-01
"govern min geral gast r$ 50,8 milhã helicópter cliqu saib",Negativo,2016-09-02
atent suic bagd mat doz pesso est min #notíc,Neutro,2016-09-03
"rt @antitelevisamx tem la represión del estado, tem al silenci mi pueblo, ángel la independenc ¡no al gasolinaz @epn! htt…",Neutro,2016-09-04
"new post ""políc prend nov suspeit tráf drog ipatinga""",Positivo,2016-09-05
"pm prend rapaz vadi uso drog centr raul soares, mg",Positivo,2016-09-06
prefeit juiz divulg convoc educ infantil,Positivo,2016-09-07
trê hom det após roub loj celul ipating #somostodosdilm #raynni #buyraynniereonitu…,Positivo,2016-09-08
govern valad registr doi assassinat menos hor,Neutro,2016-09-09
dupl pres patrocíni suspeit envolv roub fazend #operaçãobetalab,Positivo,2016-09-10
"govern min admit superlot presídi 60 mil detentos, mg 2ª mai popul carcerár",Positivo,2016-09-11
presídi min adot nov model conseg recuper 60% pres,Positivo,2016-09-12
polic min prend ladr cas lux férias litor baian geral est min,Positivo,2016-09-13
"@galonopeito1 min mar, est ia paraís hahah ❤",Neutro,2016-09-14
rt @domartim govern mg põe sigil dad sobr voo pimentel,Negativo,2016-09-15
2 helicópteros!! car pau canalh aind ñ mai q by #anapaulavol via @c0nvey,Negativo,2016-09-16
"rt @sals calam financeira, govern mg compr doi helicópter via @vejacom",Negativo,2016-09-17
govern vet mudanç códig étic milit,Neutro,2016-09-18
hom pres agred seguranç club trê coraçã (mg,Positivo,2016-09-19
"após denúncias, cão encontr drog men det mg",Positivo,2016-09-20
"políci milit prend suspeit roub pad joã paraíso, nort min",Positivo,2016-09-21
hom pres pc pirap suspeit envolv roub,Positivo,2016-09-22
secret anunc profiss vacin contr febr amarel,Positivo,2016-09-23
políci civil prend trafic suspeit orden assassinat assalt geral est min,Positivo,2016-09-24
"trê pres após furt loj shopping varginha, mg",Positivo,2016-09-25
@hidselen min geral est pão queij,Neutro,2016-09-26
rio faz bloquei contr febr amarel municípi divis min geral,Positivo,2016-09-27
"jov pres suspeit viol domést cárc uberlând suspeito, 25 anos, fratur pé ao……",Positivo,2016-09-28
"tud legal moral fal legal fiz crít senh pimentel, tão log assum",Negativo,2016-09-29
#acordaminas!!!! pov min pé bund dess canalh,Negativo,2016-09-30
presídi min adot nov model conseg recuper 60% pres,Positivo,2016-10-01
caminhon suspeit forj roub carg pres arax,Positivo,2016-10-02
par fing est melhor min geral brasil,Neutro,2016-10-03
"pm apreend arm fogo, mun drog juiz #operaçãobetalab",Positivo,2016-10-04
via @estada govern min geral compr doi helicópter,Negativo,2016-10-05
@pmmg190 apreens drog bairr jardim cél,Positivo,2016-10-06
"new post ""quatr hom pres tráf drog janaúba""",Positivo,2016-10-07
'jeit kalil' nov prefeit bh almoç marmitex elimin traj formal poli est min,Positivo,2016-10-08
"rt @rafaelpguy calam financeira, govern mg compr doi helicópter via @uolnotic @uol",Negativo,2016-10-09
políci apreend arm drog cas mont clar,Positivo,2016-10-10
"rt @ca_mored notíc minut govern mg gast r$ 50,8 milhã helicópter",Negativo,2016-10-11
"mor viadut 9 julh lev abrig 90 dias, diz dor poli est min",Neutro,2016-10-12
moment min club govern valad carnav 1953 saud pal felic reil,Neutro,2016-10-13
"calam financeira, govern mg compr doi helicópter by #acordouacord via @c0nvey",Negativo,2016-10-14
2 ano desgovern destru est estarrec deput aind apo pov min,Neutro,2016-10-15
"govern min expuls 2016 políc milit (36, políc civil (21 corp bomb",Positivo,2016-10-16
rt @luciaanacruz quieren sup brc si siguen dand mg al vide micael en grisu con su est bipolaridad,Neutro,2016-10-17
bb avis justiç govern mg recurs cont judic,Negativo,2016-10-18
"políci apreend arm drog distrit barr alegre, ipating",Positivo,2016-10-19
tem sartor entreg hoj ambulânc 61 municípi est quatr veícul apresent problemas…,Positivo,2016-10-20
"i'm at cut in govern valadares, min geral w/ @tue_nunes07 @combatentemg @cleverson0505 @newrandley",Neutro,2016-10-21
"rt @arisir corrupt pt @bobjackk @oipanu calam financeira, govern mg compr doi helicópter",Negativo,2016-10-22
betim cont vacin hoj contr febr amarel geral est min,Positivo,2016-10-23
"i'm at doc lar feliz in govern valadares, min geral w/ @tue_nunes07 @andreacorreia9 @amandassantosm",Neutro,2016-10-24
açã govern min geral benefici 12 mil agricul famili,Positivo,2016-10-25
rt @rede45 tre min geral confirm nov reje cont campanh fern pimentel pt est,Negativo,2016-10-26
"@pmmg190 ""men apreend drog nov lim",Positivo,2016-10-27
arax receb nov dos vacin contr febr amarel,Positivo,2016-10-28
"new post ""adolesc pres arm drog tumiritinga""",Positivo,2016-10-29
rt @kleberfs pres hom us garr espet churrasc 'à la wolverine' nacion est min,Neutro,2016-10-30
shopping cobr estacion bh vai pag mult r$ 15 mil econom est min,Neutro,2016-10-31
"'calam financeira', govern mg compr doi helicópter istoé independ",Negativo,2016-11-01
jorn impact açã govern min geral benefici 12 mil agricul famili,Positivo,2016-11-02
@pmmg190 paracatu milit realiz pris tráf drog,Positivo,2016-11-03
detranmg realiz açõ educ trânsit dur mê fever,Positivo,2016-11-04
"tri pres suspeit roubo, tráf abus sex uberlând",Positivo,2016-11-05
betim cont vacin popul contr febr amarel,Positivo,2016-11-06
#brasilestácheiodemamãesoufod #metadedobrasilpertenceaospolíticosaoutraédosbancoseempres est min,Neutro,2016-11-07
bb avis justiç govern mg recurs cont judic,Negativo,2016-11-08
"quer ter autoest aeci perd min p/ presidente, govern agor prefeitura, aind acre…",Neutro,2016-11-09
agor sim!! shopping cobr estacion bh vai pag mult r$ 15 mil econom est min,Neutro,2016-11-10
ha mil tirad ai min est difer kkk,Neutro,2016-11-11
meirell pe discut cris financ rio reun poli est min,Neutro,2016-11-12
vacin contr febr amarel realiz zon rural sacr,Positivo,2016-11-13
políci prend nov suspeit tráf drog ipating,Positivo,2016-11-14
bb avis justiç govern mg recurs cont judic by #folh via @c0nvey,Negativo,2016-11-15
"pm prend rapaz vadi uso drog centr raul soares, mg",Positivo,2016-11-16
"calam financeira, govern mg compr doi helicópter by #faxinanopoder_ via @c0nvey",Negativo,2016-11-17
"calam financeira, govern mg compr doi helicópter by #acordouacord via @c0nvey",Negativo,2016-11-18
"cust r$ 21,8 milhã calamidade, govern mg compr doi by #alexorib via @c0nvey",Negativo,2016-11-19
grup det após roub carret recuper mg,Positivo,2016-11-20
"""lo abusos, aun en el est má sólido, son min sord tard tempr estallan"" joseph sanialdubay",Neutro,2016-11-21
dupl pres patrocíni suspeit envolv roub fazend,Positivo,2016-11-22
"rt @brasil_fot fal est mg, fern pimentel abr licit compr 2 (sim, dois! helicópter inacre…",Negativo,2016-11-23
"@eliascarl informamos, sesmg esclarec falt vacin contr febr amarel est",Positivo,2016-11-24
govern anunc ensin integr trê escol estad triângul,Positivo,2016-11-25
"corp est decompos encontr poç caldas, mg #somostodosdilm #raynni #buyraynniereonitu…",Neutro,2016-11-26
prefeit formig mg abr process sele educ,Positivo,2016-11-27
"rt @transitobh perd clientes, motor táxilot recus aument tarif geral est min",Neutro,2016-11-28
saudad min geral melhor est brasil,Neutro,2016-11-29
rt @ac24h banc brasil avis justiç govern mg recurs cont judic,Negativo,2016-11-30
min vai dobr ofert trabalh estud presídi est,Neutro,2016-12-01
"quadrilh pres tráf drog timóteo, mg",Positivo,2016-12-02
cap est min hoj,Neutro,2016-12-03
arax receb nov dos vacin contr febr amarel #g1,Positivo,2016-12-04
pres roub cas juiz têm histór crim violent #somostodosdilm #raynni #buyraynnier…,Positivo,2016-12-05
dupl pres patrocíni suspeit envolv roub fazend,Positivo,2016-12-06
trê adolesc apreend tráf drog ipating,Positivo,2016-12-07
min geral receb auxíli forç nacion su cas febr amarel #canalsaud,Positivo,2016-12-08
mg y tir un est par qe agreguen � coment y va seguro�❤,Neutro,2016-12-09
si est lleg 50 mg ago un vide cant mand salud comenten quierrn ❤�,Neutro,2016-12-10
"após denúncias, cão encontr drog men det mg",Positivo,2016-12-11
"@pmmg190 políci milit prend rapaz tráf drog bairr cristóvão, mari (mg",Positivo,2016-12-12
